date,ingested,validated,rules_applied,auto_decided,approved,manual_review,denied,error_void,validated_rate,rules_applied_rate,auto_decided_rate,approved_rate
10/8/2025,38244,37922,37204,36058,33746,1146,2312,267,0.9916,0.9811,0.9692,0.9359
10/9/2025,37359,37129,36823,35731,33974,1092,1757,141,0.9938,0.9918,0.9703,0.9508
10/10/2025,41020,40479,39831,38559,36363,1272,2196,470,0.9868,0.984,0.9681,0.943
10/11/2025,39247,38952,38149,36957,34315,1192,2642,260,0.9925,0.9794,0.9688,0.9285
10/12/2025,35424,35099,34461,33628,31757,833,1871,264,0.9908,0.9818,0.9758,0.9444
10/13/2025,34984,34898,34267,33388,31144,879,2244,77,0.9975,0.9819,0.9743,0.9328
10/14/2025,36324,36014,35517,33734,31521,1783,2213,197,0.9915,0.9862,0.9498,0.9344
10/15/2025,37864,37751,37181,35883,33784,1298,2099,79,0.997,0.9849,0.9651,0.9415
10/16/2025,39248,38804,38208,36909,34512,1299,2397,331,0.9887,0.9846,0.966,0.9351
10/17/2025,39938,39689,39232,37525,35504,1707,2021,153,0.9938,0.9885,0.9565,0.9461
10/18/2025,38556,38284,37800,36574,34116,1226,2458,206,0.9929,0.9874,0.9676,0.9328
10/19/2025,37095,36702,36235,35311,32982,924,2329,272,0.9894,0.9873,0.9745,0.934
10/20/2025,37473,37193,36733,35281,32944,1452,2337,206,0.9925,0.9876,0.9605,0.9338
10/21/2025,33092,32948,32568,31559,29491,1009,2068,108,0.9956,0.9885,0.969,0.9345
10/22/2025,37697,37359,36521,35115,33282,1406,1833,307,0.991,0.9776,0.9615,0.9478
10/23/2025,40006,39483,38873,37433,35338,1440,2095,363,0.9869,0.9846,0.963,0.944
10/24/2025,40622,40295,39379,38429,36611,950,1818,298,0.992,0.9773,0.9759,0.9527
10/25/2025,38617,38204,37675,36309,34675,1366,1634,309,0.9893,0.9862,0.9637,0.955
10/26/2025,35004,34688,34202,33168,30871,1034,2297,226,0.991,0.986,0.9698,0.9307
10/27/2025,36300,36001,35648,34071,32012,1577,2059,232,0.9918,0.9902,0.9558,0.9396
10/28/2025,38454,37950,37599,36778,34188,821,2590,376,0.9869,0.9908,0.9782,0.9296
10/29/2025,36366,35899,35426,34385,32074,1041,2311,322,0.9872,0.9868,0.9706,0.9328
10/30/2025,41073,40804,40151,38782,36221,1369,2561,209,0.9935,0.984,0.9659,0.934
10/31/2025,40124,39740,39261,38101,35455,1160,2646,251,0.9904,0.9879,0.9705,0.9306
11/1/2025,39240,38624,38002,36426,33897,1576,2529,445,0.9843,0.9839,0.9585,0.9306
11/2/2025,36093,35889,35386,34469,32327,917,2142,163,0.9943,0.986,0.9741,0.9379
11/3/2025,35747,35490,35133,33905,31507,1228,2398,191,0.9928,0.9899,0.965,0.9293
11/4/2025,38191,37804,37190,35917,33968,1273,1949,344,0.9899,0.9838,0.9658,0.9457
11/5/2025,39174,38706,38289,36913,34390,1376,2523,323,0.9881,0.9892,0.9641,0.9317
11/6/2025,42402,42169,41693,40172,38364,1521,1808,219,0.9945,0.9887,0.9635,0.955
11/7/2025,42228,41934,41187,39999,37415,1188,2584,257,0.993,0.9822,0.9712,0.9354
11/8/2025,40134,40054,39649,38401,36081,1248,2320,75,0.998,0.9899,0.9685,0.9396
11/9/2025,39733,39465,39023,37888,35184,1135,2704,239,0.9933,0.9888,0.9709,0.9286
11/10/2025,36955,36702,36203,35006,33348,1197,1658,164,0.9932,0.9864,0.9669,0.9526
11/11/2025,37914,37592,36951,35845,33979,1106,1866,253,0.9915,0.9829,0.9701,0.9479
11/12/2025,38428,38215,37549,36216,34093,1333,2123,140,0.9945,0.9826,0.9645,0.9414
11/13/2025,40732,40483,39829,39047,36244,782,2803,221,0.9939,0.9838,0.9804,0.9282
11/14/2025,40316,40145,39670,37988,35735,1682,2253,138,0.9958,0.9882,0.9576,0.9407
11/15/2025,41129,40736,40010,38992,36264,1018,2728,272,0.9904,0.9822,0.9746,0.93
11/16/2025,36549,36209,35765,34878,33158,887,1720,315,0.9907,0.9877,0.9752,0.9507
11/17/2025,37683,37327,36619,35223,33302,1396,1921,228,0.9906,0.981,0.9619,0.9455
11/18/2025,37016,36808,36263,35551,33410,712,2141,166,0.9944,0.9852,0.9804,0.9398
11/19/2025,40535,40393,39845,38768,35648,1077,3120,121,0.9965,0.9864,0.973,0.9195
11/20/2025,41921,41528,41320,40197,37429,1123,2768,244,0.9906,0.995,0.9728,0.9311
11/21/2025,43715,43310,42465,41071,38792,1394,2279,328,0.9907,0.9805,0.9672,0.9445
11/22/2025,41188,40897,40565,39173,37164,1392,2009,258,0.9929,0.9919,0.9657,0.9487
11/23/2025,36432,36114,35630,34409,32615,1221,1794,198,0.9913,0.9866,0.9657,0.9479
11/24/2025,37013,36823,36368,35253,32654,1115,2599,148,0.9949,0.9876,0.9693,0.9263
11/25/2025,36196,35662,35180,34315,32305,865,2010,369,0.9852,0.9865,0.9754,0.9414
11/26/2025,38887,38479,38009,36796,34850,1213,1946,339,0.9895,0.9878,0.9681,0.9471
11/27/2025,43236,42789,42164,40542,37531,1622,3011,287,0.9897,0.9854,0.9615,0.9257
11/28/2025,42706,42067,41723,40553,38077,1170,2476,593,0.985,0.9918,0.972,0.9389
11/29/2025,39876,39442,38818,37752,35532,1066,2220,396,0.9891,0.9842,0.9725,0.9412
11/30/2025,37489,37086,36735,35667,33405,1068,2262,268,0.9893,0.9905,0.9709,0.9366
12/1/2025,37510,37187,36571,35528,32834,1043,2694,230,0.9914,0.9834,0.9715,0.9242
12/2/2025,36528,36358,35840,34599,32398,1241,2201,137,0.9953,0.9858,0.9654,0.9364
12/3/2025,39113,38771,38062,36594,34266,1468,2328,291,0.9913,0.9817,0.9614,0.9364
12/4/2025,42228,41760,41251,39675,37208,1576,2467,353,0.9889,0.9878,0.9618,0.9378
12/5/2025,43768,43410,43053,41210,38510,1843,2700,234,0.9918,0.9918,0.9572,0.9345
12/6/2025,41875,41672,41076,39779,37212,1297,2567,129,0.9952,0.9857,0.9684,0.9355
12/7/2025,36368,35971,35439,34252,32152,1187,2100,377,0.9891,0.9852,0.9665,0.9387
12/8/2025,38237,37827,37129,35806,33749,1323,2057,311,0.9893,0.9815,0.9644,0.9426
12/9/2025,38484,38241,37671,35760,33492,1911,2268,220,0.9937,0.9851,0.9493,0.9366
12/10/2025,40848,40494,39669,38063,35616,1606,2447,272,0.9913,0.9796,0.9595,0.9357
12/11/2025,44250,43982,43206,42071,39536,1135,2535,247,0.9939,0.9824,0.9737,0.9397
12/12/2025,40370,40045,39521,38059,35153,1462,2906,205,0.9919,0.9869,0.963,0.9236
12/13/2025,40889,40648,40293,39051,36818,1242,2233,154,0.9941,0.9913,0.9692,0.9428
12/14/2025,40259,39812,39613,37975,35658,1638,2317,414,0.9889,0.995,0.9586,0.939
12/15/2025,36395,36103,35513,34648,32545,865,2103,272,0.992,0.9837,0.9756,0.9393
12/16/2025,40598,40248,39916,38564,36508,1352,2056,249,0.9914,0.9918,0.9661,0.9467
12/17/2025,41245,40765,40234,38976,35990,1258,2986,348,0.9884,0.987,0.9687,0.9234
12/18/2025,43802,43246,42614,41802,38592,812,3210,422,0.9873,0.9854,0.9809,0.9232
12/19/2025,42644,42391,41871,40870,38466,1001,2404,189,0.9941,0.9877,0.9761,0.9412
12/20/2025,43045,42655,42068,40602,38123,1466,2479,260,0.9909,0.9862,0.9652,0.9389
12/21/2025,41281,40824,40270,38798,36484,1472,2314,418,0.9889,0.9864,0.9634,0.9404
12/22/2025,39008,38685,38080,36749,34371,1331,2378,222,0.9917,0.9844,0.965,0.9353
12/23/2025,39550,39367,38596,37440,35355,1156,2085,155,0.9954,0.9804,0.97,0.9443
12/24/2025,41593,40976,40149,38799,36722,1350,2077,385,0.9852,0.9798,0.9664,0.9465
12/25/2025,42239,41711,41236,39777,37505,1459,2272,324,0.9875,0.9886,0.9646,0.9429
12/26/2025,43648,43178,42526,41497,38879,1029,2618,390,0.9892,0.9849,0.9758,0.9369
12/27/2025,42368,42215,41523,40124,37000,1399,3124,110,0.9964,0.9836,0.9663,0.9221
12/28/2025,40917,40624,40057,39288,37133,769,2155,243,0.9928,0.986,0.9808,0.9451
12/29/2025,40373,40143,39709,38420,36452,1289,1968,146,0.9943,0.9892,0.9675,0.9488
12/30/2025,38449,38010,37505,36669,34621,836,2048,409,0.9886,0.9867,0.9777,0.9441
12/31/2025,60000,41120,40436,39188,20000,1248,2666,407,0.9887,0.9834,0.9691,0.932
